model_name,training_time,train_mse,train_r2,train_adj_r2,test_mse,test_r2,test_adj_r2
LinearRegression,0.004002571105957031,0.3597319054182468,0.6233128383493554,0.6230251627979133,0.34939525257033216,0.6335851054941823,0.6324679869133719
Lasso,0.04402446746826172,0.913391461926311,0.04355762698077592,0.04282719304223892,0.9123538133716179,0.04320386777078966,0.040286806392042074
Ridge,0.0009639263153076172,0.3598180818904899,0.6232226001184911,0.6229348556522161,0.34893481216568223,0.6340679747405584,0.6329523283220846
SVR,5.031312465667725,0.8795365514495582,0.07900822211383096,0.07830486175396112,0.8847293049717062,0.07217401334851525,0.0693452755843339
KNeighborsRegressor,0.017017364501953125,0.634212325741895,0.3358953229633359,0.33538814698647346,0.9720408432873417,-0.019390619730247804,-0.02249851796113278
DecisionTreeRegressor,0.15012121200561523,0.0,1.0,1.0,0.3637858800962522,0.6184934858227871,0.6173303562063932
GradientBoostingRegressor,3.3137431144714355,0.1981598469433378,0.7925002781962696,0.7923418108977496,0.21049754954112482,0.7792487538355477,0.7785757317435829
